,count,mean,std,min,25%,50%,75%,max
salario_fixo,7146.0,3618.177615449202,3682.427820441097,0.0,1535.32,2816.44,4514.7075,36376.7
anos_trabalhados,7146.0,4.095997760985166,5.455823546620934,0.0,0.0,2.0,6.0,32.0
numerohorasmensais,7146.0,193.8005877413938,16.57481643616123,75.0,200.0,200.0,200.0,220.0
dias_afastamento,7146.0,0.11740834033025468,1.7403334703924873,0.0,0.0,0.0,0.0,30.0
dias_falta,7146.0,0.014273719563392108,0.2057752857953586,0.0,0.0,0.0,0.0,7.0
dependentes_ir,7146.0,0.3807724601175483,0.7428613505540431,0.0,0.0,0.0,1.0,4.0
horas_extras,7146.0,2.3494586715178656,7.046972988064652,0.0,0.0,0.0,0.85,122.595
atraso,7146.0,0.4533188730292005,1.9902111315463022,0.0,0.0,0.0,0.0,49.48333333333333
dias_acidente_trabalho,7146.0,0.2558074447243213,2.0479344589321524,0.0,0.0,0.0,0.0,66.0
dependentes_salario_familia,7146.0,0.053876294430450604,0.254355378815898,0.0,0.0,0.0,0.0,2.0
pedido_vale_transporte,7146.0,148.07836691855587,162.70653404639734,0.0,0.0,139.9,306.0,1166.0
valor_emprestimo,7146.0,28.031437792825702,200.87967172478176,0.0,0.0,0.0,0.0,5000.0
percentual_pensao,7146.0,0.6714245731877974,3.9906557212784666,0.0,0.0,0.0,0.0,36.0
R_1099,7146.0,0.0724769101595298,1.7672825489814141,0.0,0.0,0.0,0.0,43.16
R_1201,7146.0,71.46896725440806,712.430633414648,0.0,0.0,0.0,0.0,15236.54
R_1207,7146.0,120.22613070249089,650.9701306617161,0.0,0.0,0.0,0.0,12485.41
R_1211,7146.0,268.6207640638119,561.2474633537934,0.0,0.0,0.0,318.885,6913.6
R_1299,7146.0,39.92353624405261,735.9466147746995,0.0,0.0,0.0,0.0,50702.45
R_1604,7146.0,3.1730422614049814,23.706630837739684,0.0,0.0,0.0,0.0,1200.0
R_1619,7146.0,0.6083221382591659,15.082106432498376,0.0,0.0,0.0,0.0,532.0
R_1650,7146.0,6.11978729359082,79.23751529131812,0.0,0.0,0.0,0.0,2000.0
D_1352,7146.0,0.7614091799608173,11.956061284675034,0.0,0.0,0.0,0.0,413.15
D_9219,7146.0,184.98791771620486,198.0633390717649,0.0,59.15,128.1,244.0,1475.84
D_9254,7146.0,93.06174363280157,263.85724747005463,0.0,0.0,0.0,0.0,2076.52
salario_liquido,7146.0,3046.4051077525887,2969.9477587141387,38.8499999999999,1362.42,2363.29,3645.8450000000003,60646.4
